rank,title,url,artists,thumbnail,release_date,last_week_position,weeks_on_chart,weekly_views
1,Golden,https://www.youtube.com/watch?v=yebNIHKAC4A,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/1U-1pXbvkpvGXGUIFs5m6RXz4Fmdvqo1zzQw8eY7b4G9iwpE6vaRclt8Ov5CS8ldROIQGu2InpGuSJSW=w180-h180-l90-rj,"Jun 19, 2025",1,20,"89,355,831"
2,Soda Pop,https://www.youtube.com/watch?v=983bBbJx0Mk,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/XD2LrVCu9Y_EwxkKpkVFcXXbJa14w_Z_AFGOuJ5fY935mlAEsowjxAXA_9m5PDNEDTOOU3dZDVTBuEVq=w180-h180-l90-rj,"Jun 19, 2025",2,20,"47,048,994"
3,Your Idol,https://www.youtube.com/watch?v=cWppAbqm9I8,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/ogvvJ4j4vEP1XxsfAJ1wZs-O7dRUe_9Ek_8ui-A9QZ59WaNhB4DPaND_SCsa3uYb6Wq3N69w8mJOF7oE=w180-h180-l90-rj,"Jun 19, 2025",3,20,"29,662,145"
4,Pal Pal,https://www.youtube.com/watch?v=8of5w7RgcTc,"Afusic, AliSoomroMusic",https://lh3.googleusercontent.com/NvWDX61hm3gfFqae09LUlHKmzeHMetBijO_b21cmjnaU2i0KJrHHjq_YLiSLZcK6oSTZkeF3JbTAmdQOSg=w180-h180-l90-rj,"Feb 17, 2025",8,31,"28,652,829"
5,How It’s Done,https://www.youtube.com/watch?v=QGsevnbItdU,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",https://lh3.googleusercontent.com/83QIElJm0JGq2HfzPIvwPrCSFFdpkzC3mvLo5wl739f_wrGk2kYJJHRd6c1V_TQy4UV5gpdCgVMEEI5Jnw=w180-h180-l90-rj,"Jun 19, 2025",4,19,"26,313,860"
6,Saiyaara,https://www.youtube.com/watch?v=BSJa1UytM8w,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",https://lh3.googleusercontent.com/0lPp5SGRnGUn0NWQvBCIONNZVe7T4PTtgvFSg9Tqx3UHUjqu0-DpqC-kpSApkwa04gdi-7nhW5nSmj06cQ=w180-h180-l90-rj,"Jun 3, 2025",5,18,"26,161,851"
7,IRIS OUT,https://www.youtube.com/watch?v=LmZD-TU96q4,Kenshi Yonezu,https://lh3.googleusercontent.com/VGf2lFXKQdSyrz2g3Czj66doPtUxvJBrWDK6UFeOj8zRqS-tgs_D8FG5-8pYTX-Uh9FxZBDJIXtN1nKF=w180-h180-l90-rj,"Sep 14, 2025",6,8,"23,993,806"
8,TABOLA BALE,https://www.youtube.com/watch?v=F0d8JJUNkqo,"SILET OPEN UP, Jacson Zeran, Juan Reza, Diva Aurel",https://lh3.googleusercontent.com/HxJjyBXxR_eG32d-QKwLjMj7aDovmaEjPhuJdJSdT4Kna0WdvvgpZeUKsYafrIYABXkOfayg1GxBBHWg=w180-h180-l90-rj,"Apr 3, 2025",9,18,"23,172,182"
9,Payal Ki Khanak,https://www.youtube.com/watch?v=lKxH2xdwdgQ,"Anil Rawat, Kajal Hathrasi",https://lh3.googleusercontent.com/0QRq0hY5hsJEQfYgLYiDlMC2RbYAAr5NCkr01xQtcTkPzxgOxSEx2S8fzqr1rPu7yhlMR68fOQ3sKbn9=w180-h180-l90-rj,"Sep 9, 2025",7,8,"22,190,266"
10,The Fate of Ophelia,https://www.youtube.com/watch?v=ko70cExuzZM,Taylor Swift,https://lh3.googleusercontent.com/IGn0WKCoBHXAwi9jMtSdxxfRKiNGLcdnl-TGfA7lgphQsupUR_RuAjQv5TjFsiVOiLISZXH6RDDPUPI=w180-h180-l90-rj,"Oct 2, 2025",14,5,"21,104,999"
